symbol,Name of Securities,Category,Sub-Category,Board Lot,Expiry Date,ETF / Fund Manager,Debt Securities Investor Type,Div Stock,Blue Chip,HSI
0082.HK,CRAZY SPORTS,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
0083.HK,SINO LAND,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0084.HK,STELUX HOLDINGS,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
0085.HK,CE HUADA TECH,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0086.HK,SUN HUNG KAI CO,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
0087.HK,SWIRE PACIFIC B,Equity,Equity Securities (Main Board),"2,500",,,,Y,,N
0088.HK,TAI CHEUNG HOLD,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
0089.HK,TAI SANG LAND,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
0090.HK,PUXING ENERGY,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0091.HK,GOLDEN CEN INTL,Equity,Equity Securities (Main Board),"10,000",,,,N,,N
0092.HK,CHAMPION TECH,Equity,Equity Securities (Main Board),"24,000",,,,N,,N
0093.HK,TERMBRAY IND,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
0094.HK,GREENHEART GP,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
0095.HK,LVGEM CHINA,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
0096.HK,YUSEI,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0097.HK,HENDERSON INV,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
0098.HK,XINGFA ALUM,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
0099.HK,WONG'S INT'L,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
0101.HK,HANG LUNG PPT,Equity,Equity Securities (Main Board),"1,000",,,,Y,,Y
0102.HK,SUMMIT ASCENT,Equity,Equity Securities (Main Board),"4,000",,,,N,,N
0103.HK,SHOUGANG CENT,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0104.HK,ASIA COMM HOLD,Equity,Equity Securities (Main Board),"5,000",,,,Y,,N
0105.HK,ASSO INT HOTELS,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0106.HK,LANDSEA MGMT,Equity,Equity Securities (Main Board),"4,000",,,,N,,N
0107.HK,SICHUAN EXPRESS,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0108.HK,GR PROPERTIES,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
0110.HK,CHINA FORTUNE,Equity,Equity Securities (Main Board),"4,000",,,,N,,N
0111.HK,CINDA INTL HLDG,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
0113.HK,DICKSON CONCEPT,Equity,Equity Securities (Main Board),500,,,,Y,,N
0114.HK,HERALD HOLD,Equity,Equity Securities (Main Board),"5,000",,,,Y,,N
0115.HK,GRAND FIELD GP,Equity,Equity Securities (Main Board),"10,000",,,,N,,N
0116.HK,CHOW SANG SANG,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
0117.HK,TIANLI HOLDINGS,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
0118.HK,COSMOS MACH,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
0119.HK,POLY PROPERTY,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
0120.HK,COSMOPOL INT'L,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
0122.HK,CROCODILE,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
0123.HK,YUEXIU PROPERTY,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
0124.HK,GD LAND,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0125.HK,SUN HING VISION,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0126.HK,CARRIANNA,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0127.HK,CHINESE EST H,Equity,Equity Securities (Main Board),500,,,,N,,N
0128.HK,ENM HOLDINGS,Equity,Equity Securities (Main Board),"4,000",,,,N,,N
0129.HK,ASIA STANDARD,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
0130.HK,MOISELLE INT'L,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
0131.HK,CHEUK NANG HOLD,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
0132.HK,CHINA INV HOLD,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
0133.HK,CHINA MERCHANTS,Equity,Investment Companies,"2,000",,,,Y,,N
0135.HK,KUNLUN ENERGY,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0136.HK,CHINA RUYI,Equity,Equity Securities (Main Board),"4,000",,,,N,,N
0137.HK,JINHUI HOLDINGS,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
0138.HK,CCT FORTIS,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
0139.HK,CENTRALWEALTHGP,Equity,Equity Securities (Main Board),"14,000",,,,N,,N
0142.HK,FIRST PACIFIC,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0144.HK,CHINA MER PORT,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0145.HK,CCIAM FUTURE EN,Equity,Equity Securities (Main Board),"8,000",,,,N,,N
0146.HK,TAI PING CARPET,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
0147.HK,IB SETTLEMENT,Equity,Equity Securities (Main Board),"5,000",,,,N,,N
0148.HK,KINGBOARD HLDG,Equity,Equity Securities (Main Board),500,,,,Y,,N
0149.HK,CH AGRI-PROD EX,Equity,Equity Securities (Main Board),"5,000",,,,N,,N
0150.HK,HYPEBEAST,Equity,Equity Securities (Main Board),"2,800",,,,N,,N
0151.HK,WANT WANT CHINA,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
0152.HK,SHENZHEN INT'L,Equity,Equity Securities (Main Board),500,,,,Y,,N
0154.HK,BE ENVIRONMENT,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
