symbol,Name of Securities,Category,Sub-Category,Board Lot,Expiry Date,ETF / Fund Manager,Debt Securities Investor Type,Div Stock,Blue Chip,HSI
0798.HK,CEOVU,Equity,Equity Securities (Main Board),"4,000",,,,Y,,N
0799.HK,IGG,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
0800.HK,A8 NEW MEDIA,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
0802.HK,CHINA E-WALLET,Equity,Equity Securities (Main Board),"10,000",,,,N,,N
0804.HK,PINESTONE,Equity,Equity Securities (Main Board),"5,000",,,,N,,N
0806.HK,VALUE PARTNERS,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
0807.HK,SIICENVIRONMENT,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
0808.HK,PROSPERITY REIT,Real Estate Investment Trusts,,"1,000",,ARA Asset Management (Prosperity) Ltd.,,N,,N
0809.HK,GLOBAL BIO-CHEM,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
0810.HK,CH CASTSON 81,Equity,Investment Companies,"6,000",,,,N,,N
0811.HK,XINHUA WINSHARE,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
0812.HK,SWSI,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
0813.HK,SHIMAO GROUP,Equity,Equity Securities (Main Board),500,,,,Y,,N
0814.HK,JINGKELONG,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
0815.HK,CHI SILVER GP,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
0816.HK,JINMAO SERVICES,Equity,Equity Securities (Main Board),500,,,,N,,N
0817.HK,CHINA JINMAO,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0818.HK,HI SUN TECH,Equity,Equity Securities (Main Board),"3,000",,,,N,,N
0819.HK,TIANNENG POWER,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0820.HK,HSBCDRAGON FUND,Exchange Traded Products,Other Unit Trusts/Mutual Funds,500,,HSBC Investments (Hong Kong) Ltd.,,N,,N
0821.HK,VC HOLDINGS,Equity,Equity Securities (Main Board),"4,000",,,,N,,N
0822.HK,KA SHUI INT'L,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0823.HK,LINK REIT,Real Estate Investment Trusts,,100,,Link Asset Management Ltd.,,N,,Y
0825.HK,NWDS CHINA,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
0826.HK,TIANGONG INT'L,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0827.HK,KO YO GROUP,Equity,Equity Securities (Main Board),"4,000",,,,N,,N
0828.HK,DYNASTY WINES,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
0829.HK,SHENGUAN HLDGS,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0830.HK,CSC DEVELOPMENT,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0831.HK,CR ASIA,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0832.HK,CENTRAL CHINA,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
0833.HK,ALLTRONICS,Equity,Equity Securities (Main Board),"4,000",,,,Y,,N
0834.HK,KANGDA FOOD,Equity,Equity Securities (Main Board),"4,000",,,,N,,N
0836.HK,CHINA RES POWER,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0837.HK,CARPENTER TAN,Equity,Equity Securities (Main Board),500,,,,Y,,N
0838.HK,EVA HOLDINGS,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0839.HK,CHINA EDU GROUP,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
0840.HK,TIANYE WATER,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
0841.HK,CASSAVA RES,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
0842.HK,LEOCH INT'L,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
0844.HK,GREATIME INTL,Equity,Equity Securities (Main Board),"4,000",,,,N,,N
0845.HK,GLORIOUS PPT H,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
0846.HK,MINGFA GROUP,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
0848.HK,MAOYE INT'L,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
0851.HK,SHENG YUAN HLDG,Equity,Equity Securities (Main Board),"10,000",,,,N,,N
0852.HK,STRONG PETRO,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
0853.HK,MICROPORT,Equity,Equity Securities (Main Board),100,,,,N,,N
0854.HK,WILLAS-ARRAY,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
0855.HK,CHINA WATER,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0856.HK,VSTECS,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0857.HK,PETROCHINA,Equity,Equity Securities (Main Board),"2,000",,,,Y,,Y
0858.HK,EXTRAWELL PHAR,Equity,Equity Securities (Main Board),"10,000",,,,N,,N
0859.HK,ZHONGCHANG INTL,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
0860.HK,APOLLO FMG,Equity,Equity Securities (Main Board),"4,000",,,,N,,N
0861.HK,DC HOLDINGS,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
0862.HK,VISION VALUES,Equity,Equity Securities (Main Board),"5,000",,,,N,,N
0863.HK,BC TECH GROUP,Equity,Equity Securities (Main Board),500,,,,N,,N
0864.HK,WING LEE PPT,Equity,Equity Securities (Main Board),"4,000",,,,N,,N
0865.HK,JIANDE INT'L,Equity,Equity Securities (Main Board),"4,000",,,,N,,N
0866.HK,CHINA QINFA,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
0867.HK,CMS,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
0868.HK,XINYI GLASS,Equity,Equity Securities (Main Board),"1,000",,,,Y,,Y
0869.HK,PLAYMATES TOYS,Equity,Equity Securities (Main Board),"4,000",,,,Y,,N
0871.HK,CH DREDG ENV,Equity,Equity Securities (Main Board),"20,000",,,,N,,N
0872.HK,TITAN INVO TECH,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
0873.HK,SHIMAO SERVICES,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
0874.HK,BAIYUNSHAN PH,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0875.HK,CHINA FIN INV,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
0876.HK,KAISA HEALTH,Equity,Equity Securities (Main Board),"10,000",,,,N,,N
0878.HK,SOUNDWILL HOLD,Equity,Equity Securities (Main Board),500,,,,Y,,N
0880.HK,SJM HOLDINGS,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
0881.HK,ZHONGSHENG HLDG,Equity,Equity Securities (Main Board),500,,,,Y,,Y
0882.HK,TIANJIN DEV,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0883.HK,CNOOC,Equity,Equity Securities (Main Board),"1,000",,,,Y,,Y
0884.HK,CIFI HOLD GP,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0886.HK,SILVER BASE,Equity,Equity Securities (Main Board),"3,000",,,,N,,N
0887.HK,EMPEROR WATCH&J,Equity,Equity Securities (Main Board),"10,000",,,,Y,,N
0888.HK,BISON FINANCE,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
0889.HK,DATRONIX HOLD,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0893.HK,CHINAVTM MINING,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
0894.HK,MAN YUE TECH,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
0895.HK,DONGJIANG ENV,Equity,Equity Securities (Main Board),200,,,,Y,,N
0896.HK,HANISON,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0897.HK,WAI YUEN TONG,Equity,Equity Securities (Main Board),"5,000",,,,N,,N
0898.HK,MULTIFIELD INTL,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0899.HK,ASIA RESOURCES,Equity,Equity Securities (Main Board),"10,000",,,,N,,N
0900.HK,AEON CREDIT,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0901.HK,GOLDSTONE INV,Equity,Investment Companies,"20,000",,,,N,,N
0902.HK,HUANENG POWER,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
0904.HK,CHINA GREEN,Equity,Equity Securities (Main Board),"8,000",,,,N,,N
0905.HK,WALNUT CAP,Equity,Investment Companies,"16,000",,,,N,,N
0906.HK,COFCO PACKAGING,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
0907.HK,ELEGANCEOPTICAL,Equity,Equity Securities (Main Board),"20,000",,,,N,,N
0909.HK,MING YUAN CLOUD,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
0910.HK,CHINA SANDI,Equity,Equity Securities (Main Board),"6,000",,,,N,,N
0911.HK,QIANHAI HEALTH,Equity,Equity Securities (Main Board),"5,000",,,,N,,N
0912.HK,SUGA INT'L,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0913.HK,HARBOUR DIGITAL,Equity,Investment Companies,"10,000",,,,N,,N
0914.HK,CONCH CEMENT,Equity,Equity Securities (Main Board),500,,,,Y,,N
0915.HK,DAOHE GLOBAL,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
0916.HK,CHINA LONGYUAN,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
0918.HK,STATE EN ASSETS,Equity,Equity Securities (Main Board),"6,000",,,,N,,N
0919.HK,MODERNHEALTHTEC,Equity,Equity Securities (Main Board),"4,000",,,,N,,N
0921.HK,HISENSE HA,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
0922.HK,ANXIANYUAN CH,Equity,Equity Securities (Main Board),"10,000",,,,Y,,N
0923.HK,IWS,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
0924.HK,KHOON GROUP,Equity,Equity Securities (Main Board),"8,000",,,,N,,N
0925.HK,BJ PROPERTIES,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
0926.HK,BESUNYEN,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
0927.HK,FUJIKON IND,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0928.HK,LIFE HEALTHCARE,Equity,Equity Securities (Main Board),"20,000",,,,N,,N
0929.HK,IPE GROUP,Equity,Equity Securities (Main Board),"5,000",,,,N,,N
0931.HK,CHINA LNG,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
0932.HK,SHUNTEN INTL,Equity,Equity Securities (Main Board),"4,000",,,,N,,N
0934.HK,SINOPEC KANTONS,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0936.HK,KAISA CAPITAL,Equity,Equity Securities (Main Board),"10,000",,,,N,,N
0938.HK,MAN SANG INT'L,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
0939.HK,CCB,Equity,Equity Securities (Main Board),"1,000",,,,Y,,Y
0941.HK,CHINA MOBILE,Equity,Equity Securities (Main Board),500,,,,Y,,Y
0943.HK,ZHONGZHENG INTL,Equity,Equity Securities (Main Board),"8,000",,,,N,,N
0945.HK,MANULIFE-S,Equity,Equity Securities (Main Board),100,,,,Y,,N
0947.HK,MOBI DEV,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
0948.HK,ALPHA PRO HLDGS,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
0950.HK,LEE'S PHARM,Equity,Equity Securities (Main Board),500,,,,Y,,N
0951.HK,CHAOWEI POWER,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
0952.HK,TONGHAI FIN,Equity,Equity Securities (Main Board),"10,000",,,,N,,N
0953.HK,SHAW BROTHERS,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
0954.HK,CHANGMAO BIO,Equity,Equity Securities (Main Board),"4,000",,,,N,,N
0956.HK,CHINA SUNTIEN,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
0959.HK,CENTURY ENT INT,Equity,Equity Securities (Main Board),"10,000",,,,N,,N
0960.HK,LONGFOR GROUP,Equity,Equity Securities (Main Board),500,,,,Y,,Y
0966.HK,CHINA TAIPING,Equity,Equity Securities (Main Board),200,,,,Y,,N
0968.HK,XINYI SOLAR,Equity,Equity Securities (Main Board),"2,000",,,,Y,,Y
0969.HK,HUA LIEN INT'L,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
0970.HK,NEW SPARKLEROLL,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
0973.HK,L'OCCITANE,Equity,Equity Securities (Main Board),250,,,,Y,,N
0974.HK,SKL,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
0975.HK,MONGOL MINING,Equity,Equity Securities (Main Board),"3,000",,,,N,,N
0976.HK,CHIHO ENV,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
0978.HK,CHI MER LAND,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0979.HK,GREEN ENERGY GP,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
0980.HK,LIANHUA,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
0981.HK,SMIC,Equity,Equity Securities (Main Board),500,,,,N,,Y
0982.HK,HUAFA PPT SER,Equity,Equity Securities (Main Board),"20,000",,,,N,,N
0983.HK,SOCAM DEV,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0984.HK,AEON STORES,Equity,Equity Securities (Main Board),500,,,,Y,,N
0985.HK,CST GROUP,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
0986.HK,CH ENV ENERGY,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
0987.HK,CH RENEW EN INV,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0988.HK,SILKROAD LOG,Equity,Equity Securities (Main Board),"9,000",,,,N,,N
0989.HK,HUA YIN INTL H,Equity,Equity Securities (Main Board),"5,000",,,,N,,N
0990.HK,THEME INT'L,Equity,Equity Securities (Main Board),"10,000",,,,N,,N
0991.HK,DATANG POWER,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
0992.HK,LENOVO GROUP,Equity,Equity Securities (Main Board),"2,000",,,,Y,,Y
0993.HK,HUARONG INT FIN,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
0994.HK,CT VISION SL,Equity,Equity Securities (Main Board),"4,000",,,,N,,N
0995.HK,ANHUIEXPRESSWAY,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
0996.HK,CARNIVAL GROUP,Equity,Equity Securities (Main Board),"10,000",,,,N,,N
0997.HK,CHINLINK INTL,Equity,Equity Securities (Main Board),"8,000",,,,N,,N
0998.HK,CITIC BANK,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
1000.HK,BEIJING MEDIA,Equity,Equity Securities (Main Board),500,,,,N,,N
1001.HK,HK SH ALLIANCE,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
1002.HK,V.S. INT'L,Equity,Equity Securities (Main Board),"4,000",,,,N,,N
1003.HK,HUANXI MEDIA,Equity,Equity Securities (Main Board),"10,000",,,,N,,N
1004.HK,C SMARTERENERGY,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
1005.HK,MATRIX HOLDINGS,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
1007.HK,LONGHUI INTL,Equity,Equity Securities (Main Board),"4,000",,,,N,,N
1008.HK,LITU HOLDINGS,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
1009.HK,INT'L ENT,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
1010.HK,BALK 1798 GP,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
1011.HK,NT PHARMA,Equity,Equity Securities (Main Board),500,,,,N,,N
1013.HK,WAI CHUN GROUP,Equity,Equity Securities (Main Board),"20,000",,,,N,,N
1020.HK,CYBERNAUT INT'L,Equity,Equity Securities (Main Board),"4,000",,,,N,,N
1022.HK,FEIYU,Equity,Equity Securities (Main Board),"1,500",,,,N,,N
1023.HK,SITOY GROUP,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
1024.HK,KUAISHOU-W,Equity,Equity Securities (Main Board),100,,,,N,,N
1025.HK,KNT HOLDINGS,Equity,Equity Securities (Main Board),"8,000",,,,N,,N
1026.HK,UNIVERSAL TECH,Equity,Equity Securities (Main Board),"10,000",,,,N,,N
1027.HK,CHINA JICHENG,Equity,Equity Securities (Main Board),"10,000",,,,N,,N
1028.HK,C.BANNER,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
1029.HK,IRC,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
1030.HK,SEAZEN,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
1033.HK,SINOPEC SSC,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
1034.HK,FULLWEALTH,Equity,Equity Securities (Main Board),"8,000",,,,N,,N
1036.HK,VANKE OVERSEAS,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
1037.HK,MAXNERVA TECH,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
1038.HK,CKI HOLDINGS,Equity,Equity Securities (Main Board),500,,,,Y,,Y
1039.HK,CHANGYOU ALLI,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
1044.HK,HENGAN INT'L,Equity,Equity Securities (Main Board),500,,,,Y,,Y
1045.HK,APT SATELLITE,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
1046.HK,UNIVERSE ENT,Equity,Equity Securities (Main Board),"5,000",,,,N,,N
1047.HK,NGAI HING HONG,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
1049.HK,CELESTIAL ASIA,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
1050.HK,KARRIE INT'L,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
1051.HK,G-RESOURCES,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
1052.HK,YUEXIUTRANSPORT,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
1053.HK,CHONGQING IRON,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
1055.HK,CHINA SOUTH AIR,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
1057.HK,ZHEJIANG SHIBAO,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
1058.HK,NAMYUE HOLDINGS,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
1059.HK,KANTONE HOLDING,Equity,Equity Securities (Main Board),"3,000",,,,N,,N
1060.HK,ALI PICTURES,Equity,Equity Securities (Main Board),"10,000",,,,N,,N
1061.HK,ESSEX BIO-TECH,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
1062.HK,CDB INT'L INV,Equity,Investment Companies,"10,000",,,,N,,N
1063.HK,SUNCORP TECH,Equity,Equity Securities (Main Board),"10,000",,,,N,,N
1064.HK,ZHONG HUA INT'L,Equity,Equity Securities (Main Board),"5,000",,,,N,,N
1065.HK,TIANJIN CAPITAL,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
1066.HK,WEIGAO GROUP,Equity,Equity Securities (Main Board),400,,,,Y,,N
1068.HK,YURUN FOOD,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
1069.HK,BOZZA DEVELOP,Equity,Equity Securities (Main Board),"40,000",,,,N,,N
1070.HK,TCL ELECTRONICS,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
1071.HK,HUADIAN POWER,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
1072.HK,DONGFANG ELEC,Equity,Equity Securities (Main Board),200,,,,Y,,N
1073.HK,DA YU FIN,Equity,Equity Securities (Main Board),"5,000",,,,N,,N
1075.HK,CAPINFO,Equity,Equity Securities (Main Board),"6,000",,,,Y,,N
1076.HK,IMPERIAL PAC,Equity,Equity Securities (Main Board),"20,000",,,,N,,N
1079.HK,PINE TECH,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
1080.HK,SHENGLI PIPE,Equity,Equity Securities (Main Board),"1,500",,,,N,,N
1082.HK,BDV EDU INTL,Equity,Equity Securities (Main Board),"4,000",,,,N,,N
1083.HK,TG SMART ENERGY,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
1084.HK,GF HYDROCOLLOID,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
1085.HK,HXTL,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
1086.HK,GOODBABY INTL,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
1087.HK,INVESTECH HLDGS,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
1088.HK,CHINA SHENHUA,Equity,Equity Securities (Main Board),500,,,,Y,,Y
1090.HK,DA MING INT'L,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
1091.HK,SOUTH MANGANESE,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
1093.HK,CSPC PHARMA,Equity,Equity Securities (Main Board),"2,000",,,,Y,,Y
1094.HK,CHERISH SUN,Equity,Equity Securities (Main Board),"8,000",,,,N,,N
1097.HK,I-CABLE COMM,Equity,Equity Securities (Main Board),"20,000",,,,N,,N
1098.HK,ROAD KING INFRA,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
1099.HK,SINOPHARM,Equity,Equity Securities (Main Board),400,,,,Y,,N
1100.HK,MAINLAND HOLD,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
1101.HK,HUARONG ENERGY,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
1102.HK,ENVIRO ENERGY,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
1103.HK,DASHENG AGR FIN,Equity,Equity Securities (Main Board),"8,000",,,,N,,N
1104.HK,APAC RESOURCES,Equity,Equity Securities (Main Board),"20,000",,,,Y,,N
1105.HK,SING TAO,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
1107.HK,MODERN LAND,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
1108.HK,TRIUMPH NEW EN,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
1109.HK,CHINA RES LAND,Equity,Equity Securities (Main Board),"2,000",,,,Y,,Y
1110.HK,KINGWORLD,Equity,Equity Securities (Main Board),"4,000",,,,Y,,N
1112.HK,H&H INTL HLDG,Equity,Equity Securities (Main Board),500,,,,Y,,N
1113.HK,CK ASSET,Equity,Equity Securities (Main Board),500,,,,Y,,Y
1114.HK,BRILLIANCE CHI,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
1115.HK,TIBET WATER,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
1116.HK,MAYER HOLDINGS,Equity,Equity Securities (Main Board),"10,000",,,,N,,N
1117.HK,CH MODERN D,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
1118.HK,GOLIK HOLDINGS,Equity,Equity Securities (Main Board),"10,000",,,,Y,,N
1119.HK,IDREAMSKY,Equity,Equity Securities (Main Board),400,,,,N,,N
1120.HK,ARTS OPTICAL,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
1121.HK,GOLDENSOLAR,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
1122.HK,QINGLING MOTORS,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
1123.HK,CHINA-HK PHOTO,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
1124.HK,COASTAL GL,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
1125.HK,LAI FUNG HOLD,Equity,Equity Securities (Main Board),400,,,,N,,N
1126.HK,DREAM INT'L,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
1127.HK,LION ROCK GROUP,Equity,Equity Securities (Main Board),"4,000",,,,Y,,N
1128.HK,WYNN MACAU,Equity,Equity Securities (Main Board),400,,,,N,,N
1129.HK,WATER INDUSTRY,Equity,Equity Securities (Main Board),"8,000",,,,N,,N
1130.HK,CHINA ENV RES,Equity,Equity Securities (Main Board),"4,000",,,,N,,N
1132.HK,ORANGE SKY G H,Equity,Equity Securities (Main Board),"5,000",,,,N,,N
1133.HK,HARBIN ELECTRIC,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
1134.HK,KELFRED,Equity,Equity Securities (Main Board),"4,000",,,,N,,N
1137.HK,HK TECH VENTURE,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
1138.HK,COSCO SHIP ENGY,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
1140.HK,WEALTHKING INV,Equity,Investment Companies,"4,000",,,,N,,N
1141.HK,CMBC CAPITAL,Equity,Equity Securities (Main Board),"1,000",,,,Y,,N
1142.HK,E&P GLOBAL,Equity,Equity Securities (Main Board),"4,000",,,,N,,N
1143.HK,LINKASIAMED-NEW,Equity,Equity Securities (Main Board),"4,000",,,,N,,N
1145.HK,COURAGE INV,Equity,Equity Securities (Main Board),"20,000",,,,N,,N
1146.HK,CH OUTFITTERS,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
1147.HK,EDENSOFT,Equity,Equity Securities (Main Board),"10,000",,,,Y,,N
1148.HK,POWER XINCHEN,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
1150.HK,MILAN STATION,Equity,Equity Securities (Main Board),"10,000",,,,N,,N
1152.HK,MOMENTUM FIN,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
1153.HK,JIAYUAN SER,Equity,Equity Securities (Main Board),"1,000",,,,N,,N
1156.HK,CHINANEWENERGY,Equity,Equity Securities (Main Board),"4,000",,,,N,,N
1157.HK,ZOOMLION,Equity,Equity Securities (Main Board),200,,,,Y,,N
1159.HK,STARLIGHT CUL,Equity,Equity Securities (Main Board),500,,,,N,,N
1160.HK,GOLDSTONE CAP,Equity,Investment Companies,"100,000",,,,N,,N
1161.HK,WATER OASIS GP,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
1162.HK,LUMINA GROUP,Equity,Equity Securities (Main Board),"8,000",,,,N,,N
1163.HK,ADTIGER CORP,Equity,Equity Securities (Main Board),"2,500",,,,N,,N
1164.HK,CGN MINING,Equity,Equity Securities (Main Board),"5,000",,,,N,,N
1165.HK,SFCE,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
1166.HK,SOLARTECH INT'L,Equity,Equity Securities (Main Board),"20,000",,,,N,,N
1167.HK,JACOBIO-B,Equity,Equity Securities (Main Board),300,,,,N,,N
1168.HK,SINOLINK HOLD,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
1170.HK,KINGMAKER,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
1171.HK,YANKUANG ENERGY,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
1172.HK,MAGNUSCONCORDIA,Equity,Equity Securities (Main Board),"20,000",,,,N,,N
1173.HK,VEEKO INT'L,Equity,Equity Securities (Main Board),"20,000",,,,N,,N
1176.HK,ZHUGUANG HOLD,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
1177.HK,SINO BIOPHARM,Equity,Equity Securities (Main Board),"1,000",,,,Y,,Y
1179.HK,HWORLD-S,Equity,Equity Securities (Main Board),100,,,,Y,,N
1180.HK,PARADISE ENT,Equity,Equity Securities (Main Board),"4,000",,,,N,,N
1181.HK,TANG PALACE,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
1182.HK,SUCCESS DRAGON,Equity,Equity Securities (Main Board),"5,000",,,,N,,N
1183.HK,MECOM POWER,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
1184.HK,S.A.S. DRAGON,Equity,Equity Securities (Main Board),"2,000",,,,Y,,N
1185.HK,CHINA ENERGINE,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
1186.HK,CHINA RAIL CONS,Equity,Equity Securities (Main Board),500,,,,Y,,N
1188.HK,HYBRID KINETIC,Equity,Equity Securities (Main Board),"2,000",,,,N,,N
1189.HK,GBA DYNAMIC,Equity,Equity Securities (Main Board),"10,000",,,,N,,N
1191.HK,CHINA GEM HLDGS,Equity,Equity Securities (Main Board),"20,000",,,,N,,N
1192.HK,TITAN PETROCHEM,Equity,Equity Securities (Main Board),"20,000",,,,N,,N
